da,delex_da,text,delex_text
?request(area),?request(area),V jaké lokalitě hledáte restaurace ?,V jaké lokalitě hledáte restaurace ?
"inform(kids_allowed=no,name='Kočár z Vídně')","inform(kids_allowed=no,name=X-name)",Kočár z Vídně nepočítá s dětmi .,X-name nepočítá s dětmi .
"inform(name='Café Savoy',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Kavárna Savoy je hezká restaurace se středními cenami .,X-name je hezká restaurace se X-price_range cenami .
"inform(count=134,good_for_meal=dinner,kids_allowed=no,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,kids_allowed=no,type=restaurant)","Nabízí se 134 restaurací vhodných na večeři , kam není povolen vstup s dětmi .","Nabízí se X-count restaurací vhodných na X-good_for_meal , kam není povolen vstup s dětmi ."
"inform(area=Žižkov,name='Café Savoy',price_range=expensive)","inform(area=X-area,name=X-name,price_range=X-price_range)",Kavárna Savoy patří do drahé cenové kategorie a je na Žižkově .,X-name patří do X-price_range cenové kategorie a je na X-area .
"inform(name='Švejk Restaurant',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Švejk Restaurant vychází cenově celkem levně .,X-name vychází cenově celkem X-price_range .
"inform(good_for_meal=breakfast,name=BarBar)","inform(good_for_meal=X-good_for_meal,name=X-name)",BarBar podává úžasné snídaně .,X-name podává úžasné X-good_for_meal .
?confirm(near='Powder Tower'),?confirm(near=X-near),"Prosím o ujištění , hledáte restauraci poblíž Prašné brány ?","Prosím o ujištění , hledáte restauraci poblíž X-near ?"
"inform(name='Café Savoy',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Kavárna Savoy je středně drahá restaurace .,X-name je X-price_range restaurace .
?request(area),?request(area),V jaké oblasti se nachází vámi hledaná restaurace ?,V jaké oblasti se nachází vámi hledaná restaurace ?
"inform(count=2,food=Asian,kids_allowed=no,price_range=moderate,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=no,price_range=X-price_range,type=restaurant)","Jsou zde 2 středně drahé asijské restaurace , kam není povolen vstup s dětmi .","Jsou zde X-count X-price_range X-food restaurace , kam není povolen vstup s dětmi ."
?request(area),?request(area),"Prosím upřesněte , o jakou lokalitu máte zájem .","Prosím upřesněte , o jakou lokalitu máte zájem ."
"inform(food=Indian,good_for_meal=dinner,name=BarBar,price_range=moderate)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",BarBar servíruje indické pokrmy a večeře za průměrné ceny .,X-name servíruje X-food pokrmy a X-good_for_meal za X-price_range ceny .
"inform(food=Mexican,kids_allowed=yes,name='U Konšelů')","inform(food=X-food,kids_allowed=yes,name=X-name)","Vyzkoušejte restauraci U Konšelů , pokud chcete mexické jídlo a místo vstřícné k dětem .","Vyzkoušejte restauraci X-name , pokud chcete X-food jídlo a místo vstřícné k dětem ."
"inform(name='Švejk Restaurant',near='TV Tower')","inform(name=X-name,near=X-near)",Restaurace Švejk leží nedaleko od televizní věže .,X-name leží nedaleko od X-near .
"inform_no_match(food=Czech,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nejsou tu žádné restaurace , které nabízejí k snídani české jídlo .","Nejsou tu žádné restaurace , které nabízejí k X-good_for_meal X-food jídlo ."
"inform(name=Místo,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Místo má celkem levné ceny .,X-name má celkem X-price_range ceny .
"inform(name='Švejk Restaurant',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Švejk Restaurant je cenově běžný .,X-name je cenově X-price_range .
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace U Tučňáků je cenově docela průměrná .,Restaurace X-name je cenově docela X-price_range .
"inform(name=Místo,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Místo je spíš levné .,X-name je spíš X-price_range .
"inform(area=Nusle,name='Café Savoy',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Café Savoy v Nuslích je v normální cenové kategorii .,X-name v X-area je v X-price_range cenové kategorii .
"inform(name=Ferdinanda,price_range='expensive or cheap')","inform(name=X-name,price_range=X-price_range)",Ferdinanda nabízí dražší nebo levnější jídla .,X-name nabízí X-price_range jídla .
"inform(area=Vinohrady,name='Café Kampus',price_range=expensive)","inform(area=X-area,name=X-name,price_range=X-price_range)",Café Kampus je spíše drahá restaurace na Vinohradech .,X-name je spíše X-price_range restaurace na X-area .
"inform(kids_allowed=no,name='Café Savoy')","inform(kids_allowed=no,name=X-name)",Café Savoy se nehodí pro děti .,X-name se nehodí pro děti .
"inform(food=Asian,kids_allowed=no,name='Švejk Restaurant')","inform(food=X-food,kids_allowed=no,name=X-name)","Restaurace Švejk Restaurant nabízí asijskou kuchyni , ale není vhodná pro návštěvu s dětmi .","X-name Restaurant nabízí X-food kuchyni , ale není vhodná pro návštěvu s dětmi ."
"inform(name='Café Savoy',near='Powder Tower')","inform(name=X-name,near=X-near)",Café Savoy se nachází poblíž Prašné brány .,X-name se nachází poblíž X-near .
"inform(food=German,kids_allowed=yes,name=Ananta)","inform(food=X-food,kids_allowed=yes,name=X-name)","Název německé restaurace , která vítá děti , je Ananta .","Název X-food restaurace , která vítá děti , je X-name ."
"inform(kids_allowed=yes,name=Ananta,near='Wenceslas Square',price_range=moderate)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)",Ananta je situována v blízkosti Václavského náměstí . Nabízí jídlo za přijatelné ceny a můžete sem vzít i děti .,X-name je situována v blízkosti X-near . Nabízí jídlo za X-price_range ceny a můžete sem vzít i děti .
"inform_only_match(food=vegetarian,name='Baráčnická rychta',price_range=cheap)","inform_only_match(food=X-food,name=X-name,price_range=X-price_range)",Neznám jinou vegetariánskou restauraci v levné cenové kategorii než Baráčnickou rychtu,Neznám jinou X-food restauraci v X-price_range cenové kategorii než X-name
?select(kids_allowed='no or yes'),?select(kids_allowed='no or yes'),"Chcete podnik , kam mohou děti ?","Chcete podnik , kam mohou děti ?"
?request(area),?request(area),Kde si přejete hledat restauraci ?,Kde si přejete hledat restauraci ?
"inform(name='U Konšelů',near='Prague Castle')","inform(name=X-name,near=X-near)",U Konšelů je krásná restaurace nedaleko od Pražského hradu .,X-name je krásná restaurace nedaleko od X-near .
"inform(food=Asian,kids_allowed=no,name='Café Kampus')","inform(food=X-food,kids_allowed=no,name=X-name)","Café Kampus je pěkná restaurace nabízející asijskou kuchyni , kam nemohou chodit děti .","X-name je pěkná restaurace nabízející X-food kuchyni , kam nemohou chodit děti ."
"inform(name='U Konšelů',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace U Konšelů má levné ceny,Restaurace X-name má X-price_range ceny
"inform(name='Café Kampus',price_range=moderate)","inform(name=X-name,price_range=X-price_range)","Mám tu restauraci se středními cenami , jmenuje se Café Kampus .","Mám tu restauraci se X-price_range cenami , jmenuje se X-name ."
"inform(name='Green Spirit',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace Green Spirit spadá do nižší cenové kategorie .,Restaurace X-name spadá do X-price_range cenové kategorie .
"inform(kids_allowed=yes,name='Café Kampus',near='Petřín Tower',price_range=moderate)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","Mám pro Vás jednu restauraci . Jmenuje se Café Kampus , je to poblíž Petřínské rozhledny , hodí se pro děti a má střední ceny .","Mám pro Vás jednu restauraci . Jmenuje se X-name , je to poblíž X-near , hodí se pro děti a má X-price_range ceny ."
"inform(name=Ferdinanda,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Ferdinanda je levná restaurace .,X-name je X-price_range restaurace .
"inform(name=Ananta,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Ananta je hezká restaurace s nízkými cenami .,X-name je hezká restaurace s X-price_range cenami .
?confirm(near='Charles Bridge'),?confirm(near=X-near),Přejete si být Karlova mostu ?,Přejete si být X-near ?
"inform(area=Dejvice,good_for_meal=dinner,kids_allowed=yes,name=Ferdinanda)","inform(area=X-area,good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Restaurace Ferdinanda se nachází v Dejvicích . Děti jsou vítány a dobře zde povečeříte .,Restaurace X-name se nachází v X-area . Děti jsou vítány a dobře zde X-good_for_meal .
"inform_no_match(food=vegetarian,kids_allowed=no,near='Wenceslas Square')","inform_no_match(food=X-food,kids_allowed=no,near=X-near)","V okolí Václavského náměstí není ani jedna restaurace , která vaří vegetariánsky a nehodí se pro děti .","V okolí X-near není ani jedna restaurace , která vaří X-food a nehodí se pro děti ."
?request(area),?request(area),V jaké oblasti hledáte restauraci ?,V jaké oblasti hledáte restauraci ?
"inform(good_for_meal=lunch,name='Švejk Restaurant')","inform(good_for_meal=X-good_for_meal,name=X-name)",Švejk Restaurant je restaurace vhodná na oběd,X-name je restaurace vhodná na X-good_for_meal
"inform(area='Staré Město',good_for_meal=lunch,name=Ananta,price_range=moderate)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",Ananta je na Starém Městě . Ceny jsou tu střední a nejlepší je zajít sem na oběd .,X-name je na X-area . Ceny jsou tu X-price_range a nejlepší je zajít sem na X-good_for_meal .
"inform(name=BarBar,near='Charles Bridge')","inform(name=X-name,near=X-near)","Co byste řekli na BarBar , nachází se poblíž Karlova mostu ?","Co byste řekli na X-name , nachází se poblíž X-near ?"
"inform(kids_allowed=no,name=Ananta)","inform(kids_allowed=no,name=X-name)",V restauraci Ananta není povolen vstup s dětmi .,V restauraci X-name není povolen vstup s dětmi .
"inform(kids_allowed=yes,name='Pivo & Basilico',near=Stromovka,price_range=moderate)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","Pivo & Basilico je příjemná restaurace poblíž Stromovky , má střední ceny a je vstřícná k dětem .","X-name je příjemná restaurace poblíž X-near , má X-price_range ceny a je vstřícná k dětem ."
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace U Tučňáků vyhovuje vašemu požadavku na prostřední ceny .,Restaurace X-name vyhovuje vašemu požadavku na X-price_range ceny .
"inform(area=Hradčany,name='Kočár z Vídně',price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",Kočár z Vídně je levná restaurace na Hradčanech .,X-name je X-price_range restaurace na X-area .
"inform(good_for_meal=breakfast,name=Místo)","inform(good_for_meal=X-good_for_meal,name=X-name)",Místo podává úžasné snídaně .,X-name podává úžasné X-good_for_meal .
"inform(food=Chinese,good_for_meal=dinner,name='U Konšelů',price_range=cheap)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","U Konšelů je levná restaurace , kde podávají večeře a čínskou kuchyni .","X-name je X-price_range restaurace , kde podávají X-good_for_meal a X-food kuchyni ."
"inform(name='Kočár z Vídně',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Kočár z Vídně je levný .,X-name je X-price_range .
"inform_no_match(food=Czech,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nenašla jsem žádnou restauraci s českými jídly , která by podávala dobré snídaně .","Nenašla jsem žádnou restauraci s X-food jídly , která by podávala dobré X-good_for_meal ."
"inform(area=Dejvice,name='Café Kampus',price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",Café Kampus je levné místo blízko lokality Dejvice .,X-name je X-price_range místo blízko lokality X-area .
"inform(good_for_meal=lunch,name=Místo)","inform(good_for_meal=X-good_for_meal,name=X-name)",V Místě podávají dobré obědy .,V X-name podávají dobré X-good_for_meal .
"inform(address='Tržiště 15',area=Smíchov,name='U Tučňáků',phone=242817033)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)",U Tučňáků se nachází na Smíchově . Jeho adresa je Tržiště 15 a telefonní číslo je 242817033 .,X-name se nachází na X-area . Jeho adresa je X-address a telefonní číslo je X-phone .
"inform(name=BarBar,near=Stromovka)","inform(name=X-name,near=X-near)",BarBar je nedaleko od Stromovky .,X-name je nedaleko od X-near .
"inform(area=Žižkov,good_for_meal=dinner,kids_allowed=yes,name='Green Spirit')","inform(area=X-area,good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Green Spirit podává dobré večeře na Žižkově . Je vhodný i pro děti .,X-name podává dobré X-good_for_meal na X-area . Je vhodný i pro děti .
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Našla jsem 218 restaurací , které nabízí jídla různých druhů .","Našla jsem X-count restaurací , které nabízí jídla různých druhů ."
"inform(name='Baráčnická rychta',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Ceny v restauraci Baráčnická rychta jsou střední .,Ceny v restauraci X-name jsou X-price_range .
"inform(name='Kočár z Vídně',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Kočár z Vídně patří do středně drahé cenové kategorie,X-name patří do X-price_range cenové kategorie
"inform(food=vegetarian,kids_allowed=yes,name='Café Kampus')","inform(food=X-food,kids_allowed=yes,name=X-name)",Café Kampus je vhodné pro děti a má vegetariánská jídla .,X-name je vhodné pro děti a má X-food jídla .
"inform(area=Hradčany,good_for_meal=dinner,name=Ananta,price_range=cheap)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Jako dobrou restauraci na Hradčanech , vhodnou na večeři , bych navrhla Anantu , kde se levně najíte .","Jako dobrou restauraci na X-area , vhodnou na X-good_for_meal , bych navrhla X-name , kde se X-price_range najíte ."
"inform(address='Kaprova 42',area=Nusle,name='Café Savoy',phone=237327668)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)","Café Savoy je v Nuslích , adresa je Kaprova 42 a telefon 237327668 .","X-name je v X-area , adresa je X-address a telefon X-phone ."
?select(kids_allowed='no or yes'),?select(kids_allowed='no or yes'),"Prosím , potvrďte svou volbu restaurace přátelské k dětem .","Prosím , potvrďte svou volbu restaurace přátelské k dětem ."
"inform(name=BarBar,price_range=moderate)","inform(name=X-name,price_range=X-price_range)","Mám tu příjemnou restauraci BarBar , která je za běžné ceny .","Mám tu příjemnou restauraci X-name , která je za X-price_range ceny ."
"inform(name=Ferdinanda,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Ferdinanda je restaurace se středně vysokými cenami,X-name je restaurace se X-price_range cenami
"inform(address='Žatecká 13',food=none,name='Pivo & Basilico')","inform(address=X-address,food=none,name=X-name)","Adresa podniku Pivo & Basilico je Žatecká 13 . Nevím , jaká kuchyně se zde podává .","Adresa podniku X-name je X-address . Nevím , jaká kuchyně se zde podává ."
"inform(food=American,good_for_meal=dinner,name='Café Savoy',price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Café Savoy je drahá restaurace , kde k večeři podávají americkou kuchyni .","X-name je X-price_range restaurace , kde k X-good_for_meal podávají X-food kuchyni ."
"inform(food=Chinese,kids_allowed=no,name='U Konšelů')","inform(food=X-food,kids_allowed=no,name=X-name)",U Konšelů nabízejí čínské jídlo a děti tu nejsou vítány .,X-name nabízejí X-food jídlo a děti tu nejsou vítány .
"inform(food=Czech,kids_allowed=yes,name='Kočár z Vídně')","inform(food=X-food,kids_allowed=yes,name=X-name)","Kočár z Vídně je dobrá , česká restaurace , do které je povolen vstup s dětmi .","X-name je dobrá , X-food restaurace , do které je povolen vstup s dětmi ."
"inform(good_for_meal=brunch,name='U Tučňáků')","inform(good_for_meal=X-good_for_meal,name=X-name)",Restauraci U Tučňáků si zvolte zejména pro brunche .,Restauraci X-name si zvolte zejména pro X-good_for_meal .
?request(area),?request(area),V jaké oblasti chcete hledat ?,V jaké oblasti chcete hledat ?
"inform(address='Újezd 8',name='Café Kampus',near='TV Tower',phone=215920806)","inform(address=X-address,name=X-name,near=X-near,phone=X-phone)",Café Kampus se nachází poblíž televizní věže na Újezdu 8 . Její telefonní číslo je 215920806 .,X-name se nachází poblíž X-near na X-address . Její telefonní číslo je X-phone .
"inform(food=Turkish,kids_allowed=no,name='Café Kampus')","inform(food=X-food,kids_allowed=no,name=X-name)",Café Kampus je turecká restaurace nevhodná pro děti .,X-name je X-food restaurace nevhodná pro děti .
"inform(good_for_meal=brunch,name='Kočár z Vídně')","inform(good_for_meal=X-good_for_meal,name=X-name)",V Kočáru z Vídně si můžete dát dobrou pozdní snídani .,V X-name si můžete dát dobrou X-good_for_meal .
"inform(name='U Konšelů',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Ceny U Konšelů jsou středně drahé .,Ceny X-name jsou X-price_range .
"inform(name=BarBar,near='Powder Tower')","inform(name=X-name,near=X-near)",BarBar je nedaleko Prašné brány .,X-name je nedaleko X-near .
"inform(name='U Konšelů',near='Powder Tower')","inform(name=X-name,near=X-near)",Podnik jménem U Konšelů najdete poblíž Prašné brány .,Podnik jménem X-name najdete poblíž X-near .
"inform(name='Café Savoy',near='Petřín Tower')","inform(name=X-name,near=X-near)",Café Savoy se nachází poblíž Petřínské věže .,X-name se nachází poblíž X-near .
"inform(food=Czech,kids_allowed=yes,name='Švejk Restaurant')","inform(food=X-food,kids_allowed=yes,name=X-name)",Restaurace Švejk je česká restaurace vhodná i pro návštěvu s dětmi .,X-name je X-food restaurace vhodná i pro návštěvu s dětmi .
"inform(name='Švejk Restaurant',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Švejk Restaurant je ve běžné cenové skupině .,X-name je ve X-price_range cenové skupině .
"inform_no_match(food=vegetarian,good_for_meal=lunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nenašla jsem žádné restaurace vhodné na oběd , kde podávají vegetariánská jídla .","Nenašla jsem žádné restaurace vhodné na X-good_for_meal , kde podávají X-food jídla ."
"inform(kids_allowed=no,name=Ferdinanda)","inform(kids_allowed=no,name=X-name)","Ne , Ferdinanda není vhodná pro návštěvu s dětmi .","Ne , X-name není vhodná pro návštěvu s dětmi ."
"inform(area=Vinohrady,name='Café Kampus',price_range=expensive)","inform(area=X-area,name=X-name,price_range=X-price_range)","Café Kampus je drahá restaurace , nacházející se na Vinohradech .","X-name je X-price_range restaurace , nacházející se na X-area ."
?request(area),?request(area),Jaká část města vás zajímá ?,Jaká část města vás zajímá ?
"inform(kids_allowed=no,name='Green Spirit')","inform(kids_allowed=no,name=X-name)",Zkontrolovala jsem také restauraci Green Spirit a vstup s dětmi zde není povolen .,Zkontrolovala jsem také restauraci X-name a vstup s dětmi zde není povolen .
"inform(food=Mexican,good_for_meal=breakfast,name=Místo,price_range=moderate)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",V restauraci Místo podávají k snídani středně drahá mexická jídla .,V restauraci X-name podávají k X-good_for_meal X-price_range X-food jídla .
"inform(kids_allowed=no,name='Baráčnická rychta')","inform(kids_allowed=no,name=X-name)",Baráčnická rychta není přístupná dětem .,X-name není přístupná dětem .
"inform(name='U Tučňáků',near='TV Tower')","inform(name=X-name,near=X-near)",U Tučňáků se nachází v blízkosti televizního vysílače .,X-name se nachází v blízkosti X-near .
"inform(food=Italian,kids_allowed=yes,name='Pivo & Basilico')","inform(food=X-food,kids_allowed=yes,name=X-name)",Italský podnik Pivo & Basilico vítá rodiny s dětmi .,X-food podnik X-name vítá rodiny s dětmi .
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",V restauraci U Tučňáků mají střední ceny .,V restauraci X-name mají X-price_range ceny .
"inform(count=239,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Pokud vám nezáleží na druhu jídla , nabízí se 239 restaurací .","Pokud vám nezáleží na druhu jídla , nabízí se X-count restaurací ."
"inform(food=Czech,good_for_meal=dinner,name='Švejk Restaurant',price_range=cheap)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",Restaurace Švejk nabízí levné české večeře .,X-name nabízí X-price_range X-food X-good_for_meal .
"inform(area=Vinohrady,good_for_meal=dinner,kids_allowed=yes,name=BarBar)","inform(area=X-area,good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)","BarBar je pěkná , pro děti přístupná restaurace na Vinohradech , ve které se dá dobře navečeřet .","X-name je pěkná , pro děti přístupná restaurace na X-area , ve které se dá dobře X-good_for_meal ."
"inform(good_for_meal=dinner,kids_allowed=yes,name='Café Savoy',near='Old Town Square')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near)","Café Savoy je vhodné pro děti , leží poblíž Staroměstského náměstí a můžete se zde skvěle navečeřet .","X-name je vhodné pro děti , leží poblíž X-near a můžete se zde skvěle X-good_for_meal ."
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","V nabídce je 218 restaurací , pokud vám nezáleží na tom , jaké jídlo nabízejí .","V nabídce je X-count restaurací , pokud vám nezáleží na tom , jaké jídlo nabízejí ."
"inform(food=Czech,kids_allowed=no,name=Místo)","inform(food=X-food,kids_allowed=no,name=X-name)",Místo nabízí české jídlo a není vhodné pro děti .,X-name nabízí X-food jídlo a není vhodné pro děti .
"inform(name=Místo,price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Restaurace Místo je drahá,Restaurace X-name je X-price_range
?select(kids_allowed='no or yes'),?select(kids_allowed='no or yes'),"Chcete podnik , kam mohou děti ?","Chcete podnik , kam mohou děti ?"
"inform(name='Café Savoy',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Café Savoy je docela levné .,X-name je docela X-price_range .
"inform(name='Café Savoy',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Café Savoy spadá do levné cenové kategorie .,X-name spadá do X-price_range cenové kategorie .
"inform(kids_allowed=no,name='Green Spirit')","inform(kids_allowed=no,name=X-name)",Restaurace Green Spirit není vhodná pro děti .,Restaurace X-name není vhodná pro děti .
"inform(name='Baráčnická rychta',near='Old Town Square')","inform(name=X-name,near=X-near)",Nejblíže Staroměstskému náměstí je Baráčnická rychta .,Nejblíže X-near je X-name .
"inform(good_for_meal=dinner,name='Švejk Restaurant',phone=236600012)","inform(good_for_meal=X-good_for_meal,name=X-name,phone=X-phone)","Telefonní číslo Švejk Restaurantu je 236600012 , má dobré večerní menu .","Telefonní číslo X-name je X-phone , má dobré X-good_for_meal menu ."
"inform(name='Švejk Restaurant',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk má spíše levnější ceny .,X-name má spíše X-price_range ceny .
"inform(count=3,food=Mexican,kids_allowed=yes,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=yes,type=restaurant)",Našla jsem 3 mexické restaurace vhodné pro návštěvu s dětmi .,Našla jsem X-count X-food restaurace vhodné pro návštěvu s dětmi .
"inform(count=2,food=vegetarian,kids_allowed=no,price_range=moderate,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=no,price_range=X-price_range,type=restaurant)","Jsou tu 2 restaurace nabízející vegetariánskou kuchyni , nejsou vhodné pro děti a patří do střední cenové kategorie .","Jsou tu X-count restaurace nabízející X-food kuchyni , nejsou vhodné pro děti a patří do X-price_range cenové kategorie ."
"inform(food=Indian,kids_allowed=yes,name=BarBar)","inform(food=X-food,kids_allowed=yes,name=X-name)",BarBar je indická restaurace vhodná pro děti .,X-name je X-food restaurace vhodná pro děti .
"inform(food=Indian,good_for_meal=dinner,name='Café Savoy',price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Café Savoy je drahá restaurace , kde podávají indická jídla k večeři .","X-name je X-price_range restaurace , kde podávají X-food jídla k X-good_for_meal ."
"inform(area=Dejvice,count=2,type=restaurant)","inform(area=X-area,count=X-count,type=restaurant)",V Dejvicích jsou 2 restaurace .,V X-area jsou X-count restaurace .
"inform(name='Baráčnická rychta',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Baráčnická rychta je v normální cenové relaci .,X-name je v X-price_range cenové relaci .
"inform(name=Ananta,price_range=expensive)","inform(name=X-name,price_range=X-price_range)","Ananta je drahá restaurace , která nabízí mořské plody .","X-name je X-price_range restaurace , která nabízí mořské plody ."
"inform(good_for_meal=brunch,name='Švejk Restaurant')","inform(good_for_meal=X-good_for_meal,name=X-name)",Švejk Restaurant dělá dobré pozdní snídaně .,X-name dělá dobré X-good_for_meal .
"inform(kids_allowed=no,name=BarBar)","inform(kids_allowed=no,name=X-name)",BarBar nedovoluje vzít s sebou děti .,X-name nedovoluje vzít s sebou děti .
?confirm(near='Charles Bridge'),?confirm(near=X-near),Chcete restauraci blízko Karlova mostu ?,Chcete restauraci blízko X-near ?
"inform(good_for_meal='lunch or dinner',name='Baráčnická rychta')","inform(good_for_meal=X-good_for_meal,name=X-name)",Baráčnická rychta je stejně dobrá na obědy a večeře .,X-name je stejně dobrá na X-good_for_meal .
"inform(name='Café Savoy',near='Petřín Tower')","inform(name=X-name,near=X-near)",Kavárna Savoy je blízko Petřínské rozhledny .,X-name je blízko X-near .
"inform_no_match(food=Turkish,good_for_meal=lunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nejsou zde restaurace , které nabízí turecké jídlo a jsou dobré v době obědů .","Nejsou zde restaurace , které nabízí X-food jídlo a jsou dobré v době X-good_for_meal ."
"inform(good_for_meal=dinner,kids_allowed=yes,name='Švejk Restaurant',near='TV Tower')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near)","Restaurace Švejk sídlí blízko televizní věže , podává večeře a umožňuje přístup dětem .","X-name sídlí blízko X-near , podává X-good_for_meal a umožňuje přístup dětem ."
"inform(name='Pivo & Basilico',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Pivo & Basilico spadá do střední cenové kategorie .,X-name spadá do X-price_range cenové kategorie .
"inform(name='U Tučňáků',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",U Tučňáků je docela draho .,X-name je docela X-price_range .
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Pokud vám nezáleží na druhu jídla , mám tu 218 restaurací .","Pokud vám nezáleží na druhu jídla , mám tu X-count restaurací ."
"inform(kids_allowed=no,name='Green Spirit')","inform(kids_allowed=no,name=X-name)",Dětem není vstup do restaurace Green Spirit povolen .,Dětem není vstup do restaurace X-name povolen .
"inform(name='Baráčnická rychta',near='Charles Bridge')","inform(name=X-name,near=X-near)",Baráčnická rychta leží nedaleko od Karlova mostu .,X-name leží nedaleko od X-near .
"inform(good_for_meal='lunch or dinner',name=Ferdinanda,phone=235903868)","inform(good_for_meal=X-good_for_meal,name=X-name,phone=X-phone)",Ferdinanda se hodí na oběd i večeři a její telefon je 235903868 .,X-name se hodí na X-good_for_meal a její telefon je X-phone .
?request(area),?request(area),V jaké oblasti si přejete hledat ?,V jaké oblasti si přejete hledat ?
"inform(kids_allowed=no,name=Ferdinanda)","inform(kids_allowed=no,name=X-name)",Ferdinanda nepočítá s dětmi .,X-name nepočítá s dětmi .
"inform(name='Švejk Restaurant',near='Charles Bridge')","inform(name=X-name,near=X-near)",Restaurace Švejk je nedaleko od Karlova mostu .,X-name je nedaleko od X-near .
"inform(good_for_meal=dinner,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)",V Café Savoy podávají dobré večeře .,V X-name podávají dobré X-good_for_meal .
"inform(good_for_meal=dinner,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)",V Café Savoy podávají večeře .,V X-name podávají X-good_for_meal .
"inform(name='U Tučňáků',near='Old Town Square')","inform(name=X-name,near=X-near)",U Tučňáků se nachází v blízkosti Staroměstského náměstí .,X-name se nachází v blízkosti X-near .
"inform(area=Dejvice,name='U Konšelů',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Restaurace U Konšelů v Dejvicích je v normální cenové skupině .,Restaurace X-name v X-area je v X-price_range cenové skupině .
