da,text,delex_da,delex_text
inform_only_match(area=Žižkov)&inform_only_match(price_range=moderate)&inform_only_match(name=Ferdinanda)&inform_only_match(kids_allowed=no),"Jediné místo na Žižkově, které má přijatelné ceny a není přístupné pro děti, je Ferdinanda.",inform_only_match(area=X-area)&inform_only_match(price_range=X-price_range)&inform_only_match(name=X-name)&inform_only_match(kids_allowed=no),"jediné místo na X-area , které má X-price_range ceny a není přístupné pro děti , je X-name ."
"inform(name=""Švejk Restaurant"")&inform(food=Mexican)",Švejk Restaurant nabízí mexickou stravu.,inform(name=X-name)&inform(food=X-food),X-name nabízí X-food stravu .
goodbye(),Přeji příjemný den.,goodbye(),přeji příjemný den .
"inform(near=""TV Tower"")&inform(price_range=moderate)&inform(food=Indian)&inform(name=""Švejk Restaurant"")",Restaurace Švejk nabízí indická jídla za normální ceny a nachází se poblíž televizní věže.,inform(near=X-near)&inform(price_range=X-price_range)&inform(food=X-food)&inform(name=X-name),X-name nabízí X-food jídla za X-price_range ceny a nachází se poblíž X-near .
"inform(name=""Pivo & Basilico"")&inform(address=""Žatecká 30"")",Pivo & Basilico je v Žatecké 30.,inform(name=X-name)&inform(address=X-address),X-name je ve X-address .
"inform(name=""Café Savoy"")&inform(area=Smíchov)",Café Savoy se nachází na Smíchově.,inform(name=X-name)&inform(area=X-area),X-name se nachází v X-area .
goodbye(),Na slyšenou příště.,goodbye(),na slyšenou příště .
inform(name=Ananta)&inform(food=German),Ananta nabízí německá jídla.,inform(name=X-name)&inform(food=X-food),X-name nabízí X-food jídla .
"inform(name=""U Tučňáků"")&inform(price_range=moderate)&inform(food=Indian)",Restaurace U Tučňáků je indická a středně drahá.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),restaurace X-name je X-food a X-price_range .
"inform(name=""Café Savoy"")&inform(price_range=moderate)&inform(food=Turkish)",Café Savoy je podává středně drahé turecké jídlo.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),X-name je podává X-price_range X-food jídlo .
"inform(area=Nusle)&inform(name=""Pivo & Basilico"")&inform(phone=215306155)",Pivo & Basilico je v oblasti Nusle a telefonní číslo je 215306155,inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),X-name je v oblasti X-area a telefonní číslo je X-phone
goodbye(),"Děkuju Vám, na shledanou.",goodbye(),"děkuju vám , na shledanou ."
?request(price_range),V jaké cenové skupině hledáte?,?request(price_range),v jaké cenové skupině hledáte ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=11),Našla jsem 11 restaurací v různých cenových skupinách.,inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),našla jsem X-count restaurací v různých cenových skupinách .
?request(food),Na jaký typ jídla byste měli chuť?,?request(food),na jaký typ jídla byste měli chuť ?
"inform(price_range=moderate)&inform(food=vegetarian)&inform(name=""Švejk Restaurant"")",Restaurace Švejk je normální restaurace s vegetariánskou kuchyní.,inform(price_range=X-price_range)&inform(food=X-food)&inform(name=X-name),X-name je X-price_range restaurace s X-food kuchyní .
"inform(address=""Národní 50"")&inform(name=""Green Spirit"")",Green Spirit sídlí na Národní 50,inform(address=X-address)&inform(name=X-name),X-name sídlí na X-address
"inform(price=""220 Kč"")&inform(name=BarBar)",Cena BarBaru je zhruba 220 Kč.,inform(price=X-price)&inform(name=X-name),cena X-name je zhruba X-price .
goodbye(),Děkuji a přeji hezký den.,goodbye(),děkuji a přeji hezký den .
inform(name=Ferdinanda)&inform(price_range=moderate)&inform(good_for_meal=brunch),Restaurace Ferdinanda je vhodné místo pro pozdní snídaně a ceny jsou normální.,inform(name=X-name)&inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal),restaurace X-name je vhodné místo pro X-good_for_meal a ceny jsou X-price_range .
"inform(name=Ananta)&inform(area=""Staré Město"")&inform(price_range=moderate)&inform(good_for_meal=lunch)",Ananta je na Starém Městě. Ceny jsou tu střední a nejlepší je zajít sem na oběd.,inform(name=X-name)&inform(area=X-area)&inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal),X-name je na X-area . ceny jsou tu X-price_range a nejlepší je zajít sem na X-good_for_meal .
"inform(address=""Malostranské náměstí 49"")&inform(name=""U Tučňáků"")",Adresa podniku U Tučňáků je Malostranské náměstí 49,inform(address=X-address)&inform(name=X-name),adresa podniku X-name je X-address
"inform(near=""TV Tower"")&inform(name=""Švejk Restaurant"")",Restaurace Švejk se nachází blízko Žižkovské televizní věže.,inform(near=X-near)&inform(name=X-name),restaurace X-name se nachází blízko X-near .
goodbye(),Tak na shledanou !,goodbye(),tak na shledanou !
"inform(area=Žižkov)&inform(name=""Kočár z Vídně"")&inform(kids_allowed=yes)","Na Žižkově jsem našla restauraci, která se jmenuje Kočár z Vídně. Děti jsou zde vítány.",inform(area=X-area)&inform(name=X-name)&inform(kids_allowed=yes),"na X-area jsem našla restauraci , která se jmenuje X-name . děti jsou zde vítány ."
"inform(name=""Green Spirit"")&inform(food=Asian)&inform(good_for_meal=dinner)","Ano, restaurace Green Spirit nabízí k večeři asijská jídla.",inform(name=X-name)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal),"ano , restaurace X-name nabízí k X-good_for_meal X-food jídla ."
?confirm(kids_allowed=yes),"Chcete restauraci, kam mohou i děti, že?",?confirm(kids_allowed=yes),"chcete restauraci , kam mohou i děti , že ?"
"inform(area=Dejvice)&inform(name=""Green Spirit"")&inform(good_for_meal=dinner)&inform(kids_allowed=yes)","Green Spirit povoluje vstup s dětmi, podávají zde večeře a je také v Dejvicích.",inform(area=X-area)&inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),"X-name povoluje vstup s dětmi , podávají zde X-good_for_meal a je také v X-area ."
"inform(address=""Újezd 36"")&inform(phone=290510409)&inform(name=Místo)",Adresa Místa je Újezd 36. Telefonní číslo je 290510409.,inform(address=X-address)&inform(phone=X-phone)&inform(name=X-name),adresa X-name je X-address . telefonní číslo je X-phone .
"inform(name=""Kočár z Vídně"")&inform(price_range=cheap)",Kočár z Vídně je levný.,inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range .
goodbye(),Děkuji.,goodbye(),děkuji .
inform(type=restaurant)&inform(food=vegetarian)&inform(kids_allowed=no)&inform(count=4),"Našla jsem 4 restaurace, které servírují vegetariánskou stravu a nejsou přístupné dětem.",inform(type=restaurant)&inform(food=X-food)&inform(kids_allowed=no)&inform(count=X-count),"našla jsem X-count restaurace , které servírují X-food stravu a nejsou přístupné dětem ."
?request(near),V blízkosti čeho to je?,?request(near),v blízkosti čeho to je ?
inform(name=BarBar)&inform(food=American)&inform(kids_allowed=no),BarBar servíruje americká jídla a není přístupný dětem.,inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=no),X-name servíruje X-food jídla a není přístupný dětem .
"inform(name=""Café Kampus"")&inform(type=restaurant)",Café Kampus je příjemná restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je příjemná restaurace .
goodbye(),Na shledanou a mějte se hezky.,goodbye(),na shledanou a mějte se hezky .
inform(name=BarBar)&inform(food=French)&inform(kids_allowed=yes),"BarBar je dobrá, francouzská restaurace, do které je povolen vstup s dětmi.",inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=yes),"X-name je dobrá , X-food restaurace , do které je povolen vstup s dětmi ."
inform_no_match(food=vegetarian)&inform_no_match(good_for_meal=lunch),"Nenašla jsem žádné restaurace vhodné na oběd, kde podávají vegetariánská jídla.",inform_no_match(food=X-food)&inform_no_match(good_for_meal=X-good_for_meal),"nenašla jsem žádné restaurace vhodné na X-good_for_meal , kde podávají X-food jídla ."
"inform(name=""Café Savoy"")&inform(food=Turkish)",Restaurace Café Savoy je turecká.,inform(name=X-name)&inform(food=X-food),restaurace X-name je X-food .
"inform(name=""Švejk Restaurant"")&inform(food=Czech)&inform(kids_allowed=yes)",Restaurace Švejk je česká restaurace vhodná i pro návštěvu s dětmi.,inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=yes),X-name je X-food restaurace vhodná i pro návštěvu s dětmi .
"inform(name=""Švejk Restaurant"")&inform(address=""Karmelitská 30"")&inform(near=""Old Town Square"")&inform(phone=244572142)&inform(good_for_meal=dinner)","Švejk Restaurant se hodí na večeři, najdete ho v blízkosti Staroměstského náměstí v ulici Karmelitská 30 a zavolat můžete na telefonním čísle 244572142.",inform(name=X-name)&inform(address=X-address)&inform(near=X-near)&inform(phone=X-phone)&inform(good_for_meal=X-good_for_meal),"X-name se hodí na X-good_for_meal , najdete ho v blízkosti X-near v ulici X-address a zavolat můžete na telefonním čísle X-phone ."
goodbye(),Dobrou chuť !,goodbye(),dobrou chuť !
"inform(name=""Café Kampus"")&inform(good_for_meal=breakfast)&inform(price_range=cheap)&inform(kids_allowed=yes)",Café Kampus je levné a vhodné pro děti. Hodí se na snídani.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range)&inform(kids_allowed=yes),X-name je X-price_range a vhodné pro děti . hodí se na X-good_for_meal .
inform(name=Ananta)&inform(type=restaurant),Restaurace se jmenuje Ananta,inform(name=X-name)&inform(type=restaurant),restaurace se jmenuje X-name
"inform(name=""Café Savoy"")&inform(phone=293270464)",Telefonní číslo do Kavárny Savoy je 293270464,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do X-name je X-phone
"inform(name=""Švejk Restaurant"")&inform(address=""Žatecká 13"")",Adresa restaurace Švejk je Žatecká 13,inform(name=X-name)&inform(address=X-address),adresa restaurace X-name je X-address
goodbye(),Děkuji a na shledanou.,goodbye(),děkuji a na shledanou .
"inform(name=""Baráčnická rychta"")&inform(price_range=expensive)&inform(kids_allowed=yes)",Baráčnická rychta je restaurace vhodná pro děti v dražší cenové kategorii.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),X-name je restaurace vhodná pro děti v X-price_range cenové kategorii .
inform(type=restaurant)&inform(price_range=expensive)&inform(kids_allowed=yes)&inform(count=4),"Jsou zde 4 restaurace vyšší cenové skupiny, kam můžete i s dětmi.",inform(type=restaurant)&inform(price_range=X-price_range)&inform(kids_allowed=yes)&inform(count=X-count),"jsou zde X-count restaurace X-price_range cenové skupiny , kam můžete i s dětmi ."
?request(good_for_meal),"Hledáte snídaně, obědy nebo večeře?",?request(good_for_meal),"hledáte snídaně , obědy nebo večeře ?"
"inform(name=""Baráčnická rychta"")&inform(phone=230732922)",Telefonní číslo do Baráčnické rychty je 230732922,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do X-name je X-phone
"inform(name=""U Tučňáků"")&inform(postcode=""144 00"")",Poštovní směrovací číslo restaurace U Tučňáků je 144 00.,inform(name=X-name)&inform(postcode=X-postcode),poštovní směrovací číslo restaurace X-name je X-postcode .
goodbye(),Děkuji vám. Na shledanou.,goodbye(),děkuji vám . na shledanou .
?request(area),V jaké oblasti hledáte restauraci?,?request(area),v jaké oblasti hledáte restauraci ?
?request(near),Poblíž čeho hledáte?,?request(near),poblíž čeho hledáte ?
"inform(name=""Švejk Restaurant"")&inform(near=""Petřín Tower"")&inform(price_range=moderate)",Švejk Restaurant je poblíž Petřínské věže a má střední ceny.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),X-name je poblíž X-near a má X-price_range ceny .
"inform(name=BarBar)&inform(address=""Národní 12"")&inform(phone=264924664)",Adresa restaurace BarBar je Národní 12 a její telefonní číslo je 264924664.,inform(name=X-name)&inform(address=X-address)&inform(phone=X-phone),adresa restaurace X-name je X-address a její telefonní číslo je X-phone .
"inform(name=""Kočár z Vídně"")&inform(type=restaurant)",Další restaurací je Kočár z Vídně.,inform(name=X-name)&inform(type=restaurant),další restaurací je X-name .
"inform(name=""Café Savoy"")&inform(good_for_meal=dinner)",V Café Savoy podávají dobré večeře.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name podávají dobré X-good_for_meal .
goodbye(),Děkuji a přeji krásný den,goodbye(),děkuji a přeji krásný den
"inform(name=""Pivo & Basilico"")&inform(price_range=expensive)&inform(food=Chinese)",Pivo & Basilico je drahá čínská restaurace,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),X-name je X-price_range X-food restaurace
"inform(name=""Švejk Restaurant"")&inform(type=restaurant)",Jméno restaurace je Restaurace Švejk,inform(name=X-name)&inform(type=restaurant),jméno restaurace je X-name
?select(food=Asian),Přejete si asijskou kuchyni?,?select(food=X-food),přejete si X-food kuchyni ?
goodbye(),Mějte se.,goodbye(),mějte se .
?request(price_range),Jakou cenovou kategorii si přejete?,?request(price_range),jakou cenovou kategorii si přejete ?
"inform(near=""Old Town Square"")&inform(name=""Green Spirit"")&inform(price_range=cheap)&inform(kids_allowed=no)","Green Spirit je levná restaurace nedaleko Staroměstského náměstí, která není vhodná pro návštěvu s dětmi.",inform(near=X-near)&inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=no),"X-name je X-price_range restaurace nedaleko X-near , která není vhodná pro návštěvu s dětmi ."
"inform(name=""Pivo & Basilico"")&inform(phone=291501639)",Pivo & Basilico má telefonní číslo 291501639.,inform(name=X-name)&inform(phone=X-phone),X-name má telefonní číslo X-phone .
"inform(name=""Café Savoy"")&inform(good_for_meal=brunch)",Café Savoy podává úžasný brunch.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name podává úžasný X-good_for_meal .
goodbye(),"Na shledanou, přeji krásný den.",goodbye(),"na shledanou , přeji krásný den ."
?request(food),Jaký druh jídla si budete přát?,?request(food),jaký druh jídla si budete přát ?
?request(good_for_meal),"Hledáte snídaně, obědy nebo večeře?",?request(good_for_meal),"hledáte snídaně , obědy nebo večeře ?"
"inform(name=""U Konšelů"")&inform(kids_allowed=yes)",U Konšelů je příjemná restaurace vhodná pro děti.,inform(name=X-name)&inform(kids_allowed=yes),X-name je příjemná restaurace vhodná pro děti .
goodbye(),Dobrý den,goodbye(),dobrý den
"inform(name=""U Konšelů"")&inform(good_for_meal=brunch)&inform(price_range=cheap)",U Konšelů patří mezi levné restaurace a podávají zde brunche.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range),X-name patří mezi X-price_range restaurace a podávají zde X-good_for_meal .
?reqmore(),Chcete ještě s něčím pomoci?,?reqmore(),chcete ještě s něčím pomoci ?
"inform(name=""Café Savoy"")&inform(address=""Žatecká 30"")",Café Savoy je v ulici Žatecké 30.,inform(name=X-name)&inform(address=X-address),X-name je v ulici X-address .
"inform(name=""Pivo & Basilico"")&inform(phone=222108476)",Do Piva & Basilica můžete zavolat na číslo 222108476.,inform(name=X-name)&inform(phone=X-phone),do X-name můžete zavolat na číslo X-phone .
"inform(name=""U Tučňáků"")&inform(type=restaurant)",Restaurace U Tučňáků je pěkná.,inform(name=X-name)&inform(type=restaurant),restaurace X-name je pěkná .
inform(area=Žižkov)&inform(name=Místo),Místo se nachází na Žižkově,inform(area=X-area)&inform(name=X-name),X-name se nachází na X-area
goodbye(),"Na shledanou, přeji krásný den.",goodbye(),"na shledanou , přeji krásný den ."
inform(name=Místo)&inform(good_for_meal=breakfast)&inform(kids_allowed=no),"Našla jsem restauraci jménem Místo, kde není povolen vstup s dětmi a mají zde dobré snídaně.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=no),"našla jsem restauraci jménem X-name , kde není povolen vstup s dětmi a mají zde dobré X-good_for_meal ."
"inform(address=""Karmelitská 4"")&inform(name=""Green Spirit"")",Adresa Green Spiritu je ulice Karmelitská 4.,inform(address=X-address)&inform(name=X-name),adresa X-name je ulice X-address .
"inform(name=""U Tučňáků"")&inform(phone=259250377)",Telefonní číslo restaurace U Tučňáků je 259250377.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo restaurace X-name je X-phone .
inform(name=Ferdinanda)&inform(food=none),"Nevím, jaké jídlo Ferdinanda podává.",inform(name=X-name)&inform(food=none),"nevím , jaké jídlo X-name podává ."
goodbye(),Děkuji !,goodbye(),děkuji !
"inform(name=""U Tučňáků"")&inform(food=Turkish)",U Tučňáků vaří turecká jídla.,inform(name=X-name)&inform(food=X-food),X-name vaří X-food jídla .
inform(name=Místo)&inform(near=Stromovka),Místo je nedaleko od Stromovky.,inform(name=X-name)&inform(near=X-near),X-name je nedaleko od X-near .
"inform(near=""Petřín Tower"")&inform(name=BarBar)",Restaurace BarBar se nachází blízko Petřínské rozhledny.,inform(near=X-near)&inform(name=X-name),restaurace X-name se nachází blízko X-near .
"inform(near=""Charles Bridge"")&inform(name=Ananta)&inform(food=vegetarian)",Ananta je poblíž Karlova mostu a podávají zde vegetariánská jídla.,inform(near=X-near)&inform(name=X-name)&inform(food=X-food),X-name je poblíž X-near a podávají zde X-food jídla .
inform(name=BarBar)&inform(kids_allowed=no),BarBar není přístupný dětem.,inform(name=X-name)&inform(kids_allowed=no),X-name není přístupné dětem .
inform(area=Žižkov)&inform(name=Ananta)&inform(phone=223087766),Ananta je ve čtvrti Žižkov. Telefonní číslo je 223087766.,inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),X-name je ve čtvrti X-area . telefonní číslo je X-phone .
goodbye(),Děkuji za zavolání. Děkuji.,goodbye(),děkuji za zavolání . děkuji .
inform_no_match(food=Mexican)&inform_no_match(price_range=moderate),"Nemám tu žádnou středně drahou restauraci, kde by se podávalo mexické jídlo.",inform_no_match(food=X-food)&inform_no_match(price_range=X-price_range),"nemám tu žádnou X-price_range restauraci , kde by se podávalo X-food jídlo ."
?request(price_range),Mohu vám pomoci najít nějakou restauraci podle cen?,?request(price_range),mohu vám pomoci najít nějakou restauraci podle cen ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=6),Našla jsem 6 restaurací napříč všemi cenovými skupinami.,inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),našla jsem X-count restaurací napříč všemi cenovými skupinami .
?request(near),V blízkosti jaké lokality hledáte?,?request(near),v blízkosti jaké lokality hledáte ?
?request(price_range),"Mohu se ujistit, že hledáte restauraci v určité cenové skupině?",?request(price_range),"mohu se ujistit , že hledáte restauraci v určité cenové skupině ?"
"inform(name=BarBar)&inform(near=""Wenceslas Square"")&inform(price_range=moderate)",Restaurace BarBar blízko Václavského náměstí je v normální cenové relaci.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),restaurace X-name blízko X-near je v X-price_range cenové relaci .
"inform(address=""Náprstkova 14"")&inform(name=Ferdinanda)",Restauraci Ferdinanda najdete na adrese Náprstkova 14.,inform(address=X-address)&inform(name=X-name),restauraci X-name najdete na adrese X-address .
"inform(near=""Wenceslas Square"")&inform(name=""U Konšelů"")",U Konšelů se nachází poblíž Václavského náměstí.,inform(near=X-near)&inform(name=X-name),X-name se nachází poblíž X-near .
goodbye(),"Na shledanou, přeji krásný den.",goodbye(),"na shledanou , přeji krásný den ."
?request(area),V jaké lokalitě byste si přáli hledat?,?request(area),v jaké lokalitě byste si přáli hledat ?
inform(type=restaurant)&inform(area=dont_care)&inform(count=239),"Pokud vám na lokalitě nezáleží, mám tu 239 restaurací.",inform(type=restaurant)&inform(area=dont_care)&inform(count=X-count),"pokud vám na lokalitě nezáleží , mám tu X-count restaurací ."
?request(good_for_meal),"Promiňte, chcete snídani, pozdní snídani, oběd nebo večeři?",?request(good_for_meal),"promiňte , chcete snídani , pozdní snídani , oběd nebo večeři ?"
inform_no_match(food=Italian)&inform_no_match(price_range=cheap),"Omlouvám se, nenašla jsem žádné levné italské restaurace.",inform_no_match(food=X-food)&inform_no_match(price_range=X-price_range),"omlouvám se , nenašla jsem žádné X-price_range X-food restaurace ."
goodbye(),Mějte se.,goodbye(),mějte se .
"inform(name=""U Tučňáků"")&inform(price_range=cheap)&inform(food=Italian)",Restaurace U Tučňáků má nízké ceny a nabízí italská jídla.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),restaurace X-name má X-price_range ceny a nabízí X-food jídla .
inform(type=restaurant)&inform(food=French)&inform(price_range=cheap)&inform(count=7),Našla jsem 7 levných restaurací s francouzskou kuchyní.,inform(type=restaurant)&inform(food=X-food)&inform(price_range=X-price_range)&inform(count=X-count),našla jsem X-count X-price_range restaurací s X-food kuchyní .
?request(good_for_meal),"Preferujete snídani, brunch, oběd nebo večeři?",?request(good_for_meal),"preferujete snídani , brunch , oběd nebo večeři ?"
inform_no_match(area=Hradčany),Nepodařilo se mi najít žádnou restauraci blízko Hradčan.,inform_no_match(area=X-area),nepodařilo se mi najít žádnou restauraci blízko X-area .
inform(area=Karlín)&inform(name=Ananta)&inform(good_for_meal=breakfast)&inform(kids_allowed=no),"Ananta se hodí na snídani, nachází se v Karlíně a nehodí se pro děti.",inform(area=X-area)&inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=no),"X-name se hodí na X-good_for_meal , nachází se v X-area a nehodí se pro děti ."
"inform(name=""Green Spirit"")&inform(address=""Národní 40"")",Green Spirit má adresu Národní 40.,inform(name=X-name)&inform(address=X-address),X-name má adresu X-address .
"inform(name=""Café Savoy"")&inform(phone=222236131)",Telefonní číslo restaurace Café Savoy je 222236131.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo restaurace X-name je X-phone .
goodbye(),Děkuji a přeji krásný den,goodbye(),děkuji a přeji krásný den
inform(name=Místo)&inform(price_range=cheap)&inform(kids_allowed=yes),Levná restaurace vhodná pro děti je třeba Místo.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),X-price_range restaurace vhodná pro děti je třeba X-name .
inform(type=restaurant)&inform(price_range=cheap)&inform(kids_allowed=yes)&inform(count=54),"Je tu 54 levných restaurací, kam mohou děti.",inform(type=restaurant)&inform(price_range=X-price_range)&inform(kids_allowed=yes)&inform(count=X-count),"je tu X-count X-price_range restaurací , kam mohou děti ."
?request(food),Jaký typ jídla máte na mysli?,?request(food),jaký typ jídla máte na mysli ?
"inform_no_match(area=""Staré Město"")&inform_no_match(price_range=expensive)&inform_no_match(kids_allowed=yes)",Bohužel se mi nepodařilo najít na Starém městě žádnou drahou restauraci vhodnou pro děti.,inform_no_match(area=X-area)&inform_no_match(price_range=X-price_range)&inform_no_match(kids_allowed=yes),bohužel se mi nepodařilo najít na X-area žádnou X-price_range restauraci vhodnou pro děti .
goodbye(),Na shledanou,goodbye(),na shledanou
"inform(name=""Kočár z Vídně"")&inform(good_for_meal=dinner)&inform(price_range=cheap)","Našla jsem restauraci Kočár z Vídně, která patří do levné cenové skupiny a kde podávají večeři.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range),"našla jsem restauraci X-name , která patří do X-price_range cenové skupiny a kde podávají X-good_for_meal ."
"inform(name=""Švejk Restaurant"")&inform(type=restaurant)",Švejk Restaurant je velice příjemná restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je velice příjemná restaurace .
"inform(name=""Švejk Restaurant"")&inform(phone=293663372)",Telefonní číslo restaurace Švejk je 293663372.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo X-name je X-phone .
inform(name=BarBar)&inform(kids_allowed=none),"Nevím, zdali je BarBar přístupný dětem.",inform(name=X-name)&inform(kids_allowed=none),"nevím , zdali je X-name přístupný dětem ."
goodbye(),Děkuji !,goodbye(),děkuji !
"inform(name=Ferdinanda)&inform(near=""Old Town Square"")&inform(good_for_meal=lunch)","Ve Ferdinandě, která se nachází blízko Staroměstskému náměstí, se můžete dobře naobědvat.",inform(name=X-name)&inform(near=X-near)&inform(good_for_meal=X-good_for_meal),"ve X-name , která se nachází blízko X-near , se můžete dobře X-good_for_meal ."
"inform(name=""Café Savoy"")&inform(area=Vinohrady)",Café Savoy leží v okolí Vinohrad.,inform(name=X-name)&inform(area=X-area),X-name leží v okolí X-area .
"inform(address=""Tržiště 50"")&inform(name=""Green Spirit"")",Green Spirit naleznete v ulici Tržiště 50.,inform(address=X-address)&inform(name=X-name),X-name naleznete v ulici X-address .
inform(name=Ananta)&inform(phone=229002691),Telefonní číslo do Ananty je 229002691,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do X-name je X-phone
inform(name=BarBar)&inform(type=restaurant),"Znám tu pěknou restauraci, nazývá se BarBar.",inform(name=X-name)&inform(type=restaurant),"znám tu pěknou restauraci , nazývá se X-name ."
"inform(name=BarBar)&inform(price=""between 290 and 440 Kč"")",Ceny v restauraci BarBar se obyčejně pohybují mezi 290 a 440 Kč.,inform(name=X-name)&inform(price=X-price),ceny v restauraci X-name se obyčejně pohybují X-price .
goodbye(),Děkuji za zavolání.,goodbye(),děkuji za zavolání .
?request(area),V jaké lokalitě byste chtěli povečeřet?,?request(area),v jaké lokalitě byste chtěli povečeřet ?
inform(type=restaurant)&inform(good_for_meal=dont_care)&inform(area=dont_care)&inform(count=239),"Našla jsem pro Vás 239 restaurací, pokud Vám nezáleží na jídle a lokalitě.",inform(type=restaurant)&inform(good_for_meal=dont_care)&inform(area=dont_care)&inform(count=X-count),"našla jsem pro vás X-count restaurací , pokud vám nezáleží na jídle a lokalitě ."
?request(food),Jaký typ jídla máte na mysli?,?request(food),jaký typ jídla máte na mysli ?
"inform(name=""Kočár z Vídně"")&inform(food=Chinese)&inform(area=Smíchov)&inform(kids_allowed=no)","Našla jsem restauraci Kočár z Vídně. Nehodí se pro děti, nabízí čínskou kuchyni a nachází se na Smíchově.",inform(name=X-name)&inform(food=X-food)&inform(area=X-area)&inform(kids_allowed=no),"našla jsem restauraci X-name . nehodí se pro děti , nabízí X-food kuchyni a nachází se na X-area ."
"inform(address=""Újezd 23"")&inform(name=""Café Savoy"")",Café Savoy má sídlo na Újezdě 23.,inform(address=X-address)&inform(name=X-name),X-name má sídlo na X-address .
"inform(type=restaurant)&inform(name=""Café Savoy"")",Našla jsem restauraci Kavárna Savoy.,inform(type=restaurant)&inform(name=X-name),našla jsem restauraci X-name .
"inform(name=""Café Savoy"")&inform(phone=253835937)",Telefonní číslo do restaurace Kavárna Savoy zní 253835937.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do restaurace X-name zní X-phone .
goodbye(),"Na shledanou, zavolejte zas.",goodbye(),"na shledanou , zavolejte zas ."
"inform(food=Asian)&inform(name=""Pivo & Basilico"")",Restaurace Pivo & Basilico nabízí hlavně asijská jídla.,inform(food=X-food)&inform(name=X-name),restaurace X-name nabízí hlavně X-food jídla .
"inform(name=""Green Spirit"")&inform(area=Nusle)&inform(address=""Žatecká 32"")&inform(phone=237031016)","Restaurace Green Spirit je v Nuslích, adresa je Žatecká 32, telefonní číslo je 237031016",inform(name=X-name)&inform(area=X-area)&inform(address=X-address)&inform(phone=X-phone),"restaurace X-name je v X-area , adresa je X-address , telefonní číslo je X-phone"
goodbye(),Na shledanou.,goodbye(),na shledanou .
?request(price_range),Jakou cenovou relaci byste rádi?,?request(price_range),jakou cenovou relaci byste rádi ?
?request(price_range),Jaká cenová kategorie prosím?,?request(price_range),jaká cenová kategorie prosím ?
"inform(area=Dejvice)&inform(name=""U Tučňáků"")",U Tučňáků leží v Dejvicích.,inform(area=X-area)&inform(name=X-name),X-name leží v X-area .
inform(name=Místo)&inform(area=Vinohrady)&inform(kids_allowed=no),"Restaurace Místo je příjemná restaurace na Vinohradech, která není vhodná pro děti.",inform(name=X-name)&inform(area=X-area)&inform(kids_allowed=no),"restaurace X-name je příjemná restaurace na X-area , která není vhodná pro děti ."
"inform(name=""Baráčnická rychta"")&inform(phone=264924664)&inform(good_for_meal=dinner)",Baráčnická rychta je dobré místo na večeři. Má telefonní číslo 264924664.,inform(name=X-name)&inform(phone=X-phone)&inform(good_for_meal=X-good_for_meal),X-name je dobré místo na X-good_for_meal . má telefonní číslo X-phone .
goodbye(),Přeji hezký den,goodbye(),přeji hezký den
